id,user_id,brand,model,release_year,vin,plate
1,959,Cadillac,ATS,2010,4L52K6N7N7SHTZCP9,Х539КВ03
2,19,Mercedes-Benz,GLE,2007,N0PNZE3J8VMS0E0FH,Т207РА680
3,163,Ford,Explorer,2000,AT1Z4NW0WQOX7CCSC,Е110НА21
4,408,Lincoln,Corsair,1995,9VCXEDI6YTFYM4YNE,Х242РО650
5,484,Rolls-Royce,Cullinan,1995,F7Q1Q3W5VQIH98MI5,В767ЕМ558
6,57,Audi,A4,1980,1545FLPN1P07SHUEN,Х294МА309
7,95,Rolls-Royce,Phantom,1990,YPCHT4SZKVAYIPDS5,В120МТ74
8,590,Volkswagen,Golf,2009,8C0JUG1YNCFADL4YT,Р181ЕС667
9,604,Rolls-Royce,Wraith,2005,ANIHNWIQXS3UNAMWO,В707ВЕ106
10,512,Ford,F-150,1992,J64Z3LR44GFGCVS8U,Р506КА138
11,528,BMW,M4,2016,CUG3IQY3W2WN3WB84,Н315ТТ581
12,86,BMW,M8,2024,92GPCNK63SBQ1QWXY,Е684ОХ37
13,831,Audi,RS6,1993,6TXXYVXSFXSAOMM5L,Е258НР439
14,428,Rolls-Royce,Ghost,2005,I08I3YZS4LGTCKJGY,Х430ХЕ364
15,59,Hyundai,Elantra,2021,KN4VZJ8HZVPFRKY8H,О893РЕ109
16,974,BMW,X5,2013,SV4EKU2WQD68HNOWE,С792ВА698
17,28,Cadillac,XT5,2010,4MMCJGRUQARCOGDIY,Е667ОО146
18,548,Lada,Priora,1984,S7O8SOH3ZVHFGJOGL,Р431АН15
19,542,Hyundai,Solaris,1986,PKSTYZXA9PFXMAMUJ,О780СТ200
20,6,Lada,2110,1988,MBTC2U6TL7WC4OAN3,Р955ВА747
21,674,Dodge,Durango,1992,W40AVO6D7Y4YQ4S44,К908УК514
22,253,Skoda,Karoq,2004,JDMTEY5SHQK8MZ00G,Н176СО08
23,965,Ford,F-150,2019,0F6J25WOXJNDN0QDP,В551ЕА774
24,712,Hyundai,Santa Fe,2017,URKY4DZNV8J98QCZV,Е263ТТ152
25,697,Skoda,Superb,2005,QQ46R82E5A1YCSKNZ,А194РВ681
26,930,Porsche,Cayenne,1986,8F5YHKDAC5F8K0743,М903КВ16
27,715,Porsche,Macan,1994,QYV6ZFDYFT0DBXDU0,В525РХ263
28,446,Lincoln,Continental,1982,WPLU1PPQ9AB5S0QCZ,Н981АМ293
29,813,Audi,RS4,1993,CMJEJ8E90AW51P5L9,Р931ТА569
30,996,Hyundai,Solaris,2008,3AOCULU3JFN8UYK75,Р759КА772
31,277,Kia,Sorento,2008,XNOMKO6U1MK35CY8I,Х483КС665
32,982,Skoda,Kodiaq,1989,0RKG00H3OHD1L4JB6,Р496МК490
33,400,BMW,M3,1985,3C5Y30COVW1J56P8R,М884АО416
34,574,Audi,A3,2001,U10OPFAMIXPYUTSE7,Н500МР715
35,374,Lincoln,Corsair,2007,6FCCXAFHUT2VZFCU6,В954ХР426
36,293,Ford,Mustang,1998,TYTMJQRRACD57FXB7,Е859ТТ170
37,979,Toyota,Corolla,1995,3U3QMV9W69XXGYOFW,Т327ТУ491
38,502,Ford,Explorer,2004,3LX3BURQA3C56WVEQ,В498КЕ377
39,959,Kia,Sportage,2014,L67K9XC8RSAMVSYW9,Х563УВ166
40,236,Toyota,Camry,2010,Q9IPDCZR8QWQSBV1R,Е534ЕВ481
41,212,Nissan,X-Trail,2015,5UJMD70L9DQYXZQLL,Н190ТМ585
42,312,BMW,M6,1993,ZK6YUJSWA1R1ZJD4B,К494ОХ326
43,397,Hyundai,Elantra,2007,EO340N1HHY4QYDMB5,В837РА35
44,323,Hyundai,Tucson,1989,INKCAP5IPTCAOLP5J,А629НТ234
45,662,Toyota,Camry,1990,LK74OPVR3K5CFP81I,Р224ММ579
46,309,Dodge,Durango,2011,4OGJN4E7MSCH8EK7K,В419УС43
47,529,Audi,A3,1985,JPTE1O721R2KY9Y0Z,С775ТН628
48,521,Hyundai,Santa Fe,2018,ULCLYRY6Q04XH3B5E,Р968ЕВ668
49,759,Rolls-Royce,Wraith,1987,E0L62LNXGZ1HLYOR9,М617ХС261
50,390,Volkswagen,Tiguan,1984,D9G1HDA67WMVBIZGM,У494АХ166
51,466,BMW,5 Series,2019,73TLCAR9UUVXZUWCL,Е736КВ412
52,687,Lada,Niva,1994,PODONFQ00L1DD81W5,Р466ЕК623
53,173,Kia,Sorento,1988,8596TL5VRC06YZODA,Е731ЕМ390
54,918,Audi,A5,2005,BHLK57E8ANBAA35JF,Н246ЕТ311
55,776,Cadillac,CTS,1992,LNXI5M8ETHZV9B45U,А807УК146
56,317,Kia,Rio,2024,HWIXPC1ZM561LS9OW,Н427НР572
57,626,Nissan,Qashqai,1990,YXEFH7UURP97CJZE2,Х900МТ437
58,573,Rolls-Royce,Wraith,1980,RVCQ1SE2DOR36W3MS,У639УМ70
59,886,Volkswagen,Passat,1997,855C3Z45LS2FVD4ZJ,В309ТТ650
60,209,Rolls-Royce,Phantom,1995,KX73ULNOS8XQ7VN3H,Х533КХ345
61,261,Dodge,Charger,1982,UXQGEZ7ILUI1IMQGS,Р254ХУ583
62,844,Cadillac,Escalade,2012,VE6Z8486AQRM3JUH4,Х800КС715
63,517,Volkswagen,Golf,1983,S6OLW90SVF3LLOTWR,Е257РО367
64,554,Lincoln,Corsair,2015,5EOJP1LYQK8V0X0BY,К902УК789
65,181,Ford,F-150,1990,K44UJXQTFYQB9HT89,Т650УК348
66,974,Porsche,Panamera,2002,427K12Y3S8OYG02HS,М650АМ544
67,779,Nissan,Teana,2013,WTHQ996SVY3GJJCSF,В619НА517
68,561,Kia,Rio,1981,85IQEIP6NAFRMFBCD,М646ОО303
69,670,BMW,M2,2011,FQQD2W4UG6UO5Q3BS,К911МХ289
70,661,Rolls-Royce,Cullinan,1997,5H9WWHRPWMK94L495,Р573ХМ603
71,287,Cadillac,CTS,2020,GMH6SAJQDSFSHN20U,С770ЕМ214
72,112,Cadillac,XT5,2017,I1IC4BSP1G91C6CL9,Т182МО43
73,70,Ford,Mondeo,1991,RUX7H7TTOFB157E49,Е306УО292
74,376,Rolls-Royce,Wraith,1981,DV6RHZ0123REM7ZWN,А333ТО567
75,570,Skoda,Kodiaq,2006,GOY40X5LTR9B470XY,О875РС499
76,455,BMW,M8,2003,IAIL502K5W3HREUTU,Н812ММ72
77,28,Audi,Q4,1988,YNZ0ENOTO28H7C6R8,У629КЕ766
78,1,Cadillac,XT6,1985,KTZCGQWFZD2TG50VF,К588МН674
79,576,Toyota,Camry,1985,KEWG87ZCUS1Z7RS8Z,Х260АС668
80,864,Porsche,Panamera,1990,ZN2VOC9VGY23K0GI2,Е792НЕ551
81,993,Lincoln,Aviator,1988,30V5OB0H99XA0GM3D,Т428АТ297
82,559,Lada,2108,1991,92SLFBKFRCW409B9V,Е825КВ615
83,354,Audi,Q3,1993,O6XZLU44Y5ZDJ7JBU,С270ОВ414
84,497,Skoda,Octavia,1983,2HZD45WI88IH15KBM,Х901ХР235
85,762,Lada,2109,2021,N7D5M0HGXSCW1NZJF,В655ЕО252
86,743,Mercedes-Benz,C-Class,1994,RX23EWV2J7N94Z167,У901ЕЕ259
87,567,Kia,Sportage,2007,14PJKCSR8GM5FT18B,У891ХА328
88,627,Nissan,X-Trail,1980,PPOEF9WJ0YGWDJYIT,У235ОР64
89,423,Audi,A8,1993,M3N2VW7LRJWU4DLD8,М805УА270
90,340,Ford,Mustang,1997,P4IMT9UO8V72RJDPW,У146РС472
91,943,Porsche,911,2021,VQWVLGZ1XWJ0LL9IK,Е933НЕ779
92,988,BMW,7 Series,2000,CHNSYJ5BLJPSVLKCJ,А657ОН251
93,924,Lada,2105,2004,1N2T574SZ5IBNHGJK,Р215ВО511
94,347,Skoda,Superb,2024,O11X25FRSKJLO2LB9,М814ОУ426
95,763,Ford,Mustang,2001,EVD48M1QCTGQMQ0HK,Т433ОМ36
96,38,Kia,Sorento,2022,09E038J9E6IXO630U,К565МТ665
97,621,Dodge,Journey,1983,RKFIW455BW99OSBNN,Т965ХХ255
98,547,Porsche,Cayenne,2011,XMNKGB6E99HKZOW7C,М187ТР653
99,366,BMW,7 Series,2008,N1SVIZO7R3DXBB5WY,Х896ТР580
100,42,Audi,Q7,2008,O6UPL74H4TYKZ18I0,С600УХ137
101,857,Volkswagen,Polo,2006,XPKYA34Z1DLYK7C4L,К104СА549
102,364,Kia,Sorento,1980,9K8V3UYQMPXAZDLL3,Н358КТ206
103,453,Volkswagen,Golf,1990,NTLYNV2ITFFZPYXRT,Т295УУ715
104,742,Lincoln,Aviator,1999,A8LXL04G81HXYSIH8,В571МТ347
105,73,Nissan,Teana,1995,64K8CIWUMQ83256SA,Т853ХА175
106,448,Ford,Mustang,2016,51ZGMJEXIBWSXE0ML,Т836ММ350
107,62,Cadillac,CTS,2011,VOBRTYN3KNKSQWYYO,Х136МК488
108,629,Dodge,Charger,1983,MDYTQX7BBX1VPM8QF,Р827ОА764
109,386,Mercedes-Benz,C-Class,2009,8CEPOQHWHWGOCQYS2,Р862ОО698
110,4,Mercedes-Benz,E-Class,2000,2N7I3II0RS1XO5DC6,В311РВ671
111,542,Toyota,Camry,2005,JSS2570F0VL7O1LMM,Т204ЕТ102
112,568,Cadillac,ATS,2024,IJ4J2MRRDVEMG81LJ,У157АУ327
113,89,BMW,7 Series,2023,7G6PR7GX7CDDWKASP,Р306КР733
114,577,Mercedes-Benz,G-Class,2020,5DEM4Y9NM1FV5W4CB,У865РХ69
115,907,Porsche,Cayenne,1981,2NFQXJXYUK175GHDF,С641АТ184
116,336,BMW,M2,1986,Q6UUQJLD6Z0TVX6NQ,О262ХУ119
117,820,Rolls-Royce,Cullinan,2001,YVUMV11X97PE0GSPO,А883КК444
118,4,Ford,Mustang,2018,9KM7JRABRMNHZJY0D,Х801НУ152
119,584,Mercedes-Benz,G-Class,2014,X0SYQBWET1SVN20YD,У190СВ180
120,661,Rolls-Royce,Phantom,2016,2AV23T9LDXNS8CO4T,А939ВО221
121,191,Lada,2107,1986,6SW42AE2OHV1HTXRG,Е292ЕТ785
122,883,BMW,3 Series,2016,OTA7OJ0BGJ3YPV4NF,М575ТУ12
123,286,Toyota,Land Cruiser,2020,GNT93LY38DV2NJU9V,В938СС566
124,751,Toyota,Land Cruiser,2009,HO1BDBVYPO3PG3DPO,У298СТ312
125,303,Hyundai,Tucson,2015,I55M0A896YL1YPMAX,Т616ТС109
126,689,Nissan,X-Trail,1999,MWXBR5PTPRR0V5JZ9,М374ОН84
127,185,Skoda,Karoq,1986,0JGR8SF9LGZTGCQOB,А922КН633
128,131,Toyota,Corolla,2017,PQXP3BY9QY7JNDE6W,О863КР646
129,282,BMW,M8,2014,FGJOWH4APTLNNFP0O,В899КХ691
130,474,Rolls-Royce,Ghost,2010,WXMHSJUIA52BCUJM2,С246СМ733
131,661,Volkswagen,Tiguan,1992,JKCPVLL7QXMYIUDUZ,О755ТУ305
132,932,Porsche,Macan,2009,T5F5KIKYPKVI6AKO8,Х981АР155
133,797,Lincoln,Aviator,1990,40HF2NCO7PQYDCN6W,Р938МХ120
134,826,Porsche,Cayenne,1992,LXZLWIM98UEODFQ1A,В626ТЕ435
135,66,Skoda,Karoq,2000,HQGBD3CG3XSV1S721,К375АС171
136,5,Porsche,911,1985,SVRG1BDTS337GHW4X,В541СО370
137,442,Kia,Sorento,2000,0ZMC8EL7LNSABRTSG,Р971УР622
138,646,Dodge,Journey,2003,SN7KSKW80JRYTDZQN,Е553АХ770
139,121,Volkswagen,Passat,2019,5299E58ZL74JENG8Y,А515НР767
140,91,Nissan,X-Trail,1989,GN9VVP51WK9VGC5UM,М462ТС157
141,521,Hyundai,Santa Fe,2021,4AWSJ0519WNL37XZ0,Р798УК583
142,82,Hyundai,Tucson,1997,AHXGB9MKW4QZRUJ78,С138ВС340
143,636,Hyundai,Solaris,2014,NNYYXB0Z2VZPH6X4J,Р329НМ203
144,728,Mercedes-Benz,GLA,1984,B2DCPT27BPIT2EWWA,С217ХМ563
145,319,Cadillac,ATS,2000,WNKTQ60K466VILJX2,С552ВХ792
146,35,Kia,Sorento,2001,QP0VPZJH9V8YN4ZXV,Е936СХ302
147,143,Audi,A4,2021,HMQXPIE9IEPAJQX34,М814СЕ57
148,973,Porsche,Panamera,2001,177LNOA5OEF0R223Q,М798ЕХ514
149,211,Volkswagen,Passat,2000,CYN4YKCIA3WDY5Y7C,О883УХ787
150,493,BMW,M3,1997,SJLCZLJJI4WNFEYW7,А862МО182
151,458,Skoda,Karoq,2019,FSXILZ7XZZ7UH1T86,О766МК607
152,962,Dodge,Ram,1994,BZ91WBJOK12K9ZCUB,В402ЕУ337
153,499,Cadillac,XT5,2024,EGMV50VL6OUMK9KB6,Х426ВО299
154,331,Cadillac,CTS,1987,2QKBL5ABUD5CJZAQC,С354ВТ556
155,838,Skoda,Kodiaq,1995,98JFYYG927CPW5JS1,М780УЕ705
156,406,Nissan,X-Trail,2001,XEZUU5KWIUI8Z926L,Т208РВ231
157,656,Nissan,Murano,1980,PUR09673GNIT8HPKD,Х987ЕВ266
158,812,Cadillac,ATS,2004,Y7411X4CUI4NQPFBZ,У812НЕ22
159,546,Hyundai,Tucson,2022,IYB57VNCBUP8DBCIF,Р994МС481
160,446,Lada,2104,2000,IKL7FG7I0T92XO3A1,Т608ОС360
161,137,Lincoln,Corsair,2022,MUCFP1ALWDTQ2MMFS,М536РО243
162,466,Lincoln,Aviator,2023,1E8U5IAC1X7MOAV94,М863УЕ194
163,719,Rolls-Royce,Cullinan,1999,RRG93GI5ZSLXHIB02,Т123СО647
164,151,Hyundai,Santa Fe,2006,LGEOUZVAN7SOT422H,Х300ОО681
165,63,Volkswagen,Passat,2020,SBYWGA9ZY9SI3T8SB,У703ТУ524
166,287,Nissan,X-Trail,1987,EYPGUPXQNFDXIQB7H,К596ХР569
167,171,Mercedes-Benz,C-Class,1981,Y384VM2GHY7TOXNMY,А849НТ588
168,785,Mercedes-Benz,C-Class,2022,KC8PL8ETXL5ZNKZY9,У849КМ326
169,493,Cadillac,XT5,1992,2OBLSZP9K8B6R7YOG,Н128ОУ666
170,442,Audi,Q5,2017,JVS5B0QGAGUJDSFN5,Р701УМ500
171,829,Cadillac,XT6,1999,KDTMNBTLS2EFS6ZI7,С627КР315
172,605,Kia,Rio,2013,8904XWQUIUPZP7RG2,А279АВ305
173,506,Lada,Niva,1995,VUWGW0O9Z3D8BYNBO,Е697ОХ457
174,318,Hyundai,Solaris,1994,0FL7QKV9NIKNUP4NS,К832МВ66
175,110,Rolls-Royce,Cullinan,1999,OBLSHRQS1RL1IY1TY,У803КТ125
176,202,Lada,Priora,1985,PBXW43BJYXSS0BPLG,О451МО531
177,483,Audi,Q5,2018,PL6N7ZWM1BVZJV9ZO,А654АТ281
178,157,Lincoln,Continental,2016,T7TL01QUY2IB0SGYC,Р325КР84
179,789,Kia,Sportage,1998,HPDH6ORG6A9TENKLG,Е805ЕВ09
180,390,Ford,Focus,1985,TZU5GWRFF7MVENZKV,Х219ЕЕ66
181,792,Nissan,Teana,2006,UFD2ZD2HM6GLY4N4D,Т598НР233
182,747,Dodge,Challenger,2008,19E6SFPRGB2FZCY3E,Р426ЕА649
183,536,Kia,Sorento,1997,GJ544HDSFWTY9X3V9,Т689РС425
184,109,Porsche,Macan,2008,I8C6XZ6NBFQROLW47,С477РК684
185,62,Hyundai,Elantra,2010,200GRDLCV3PWBAGS3,М395ХР243
186,409,Nissan,Teana,1981,Q1EVHIBI4HCGEUN0D,Е658АХ389
187,830,Rolls-Royce,Cullinan,1988,BSVMKPGGAADGXLBFS,У208АК533
188,843,Ford,Mondeo,1984,FPJL4W5WFWBBC2B9V,Е799АВ09
189,577,Cadillac,ATS,1982,2VHDH56VEDWT82ETA,С758КХ645
190,61,Lincoln,Aviator,2014,P6QKP5BS0R81CB7VM,О123ТЕ507
191,928,Skoda,Karoq,1998,Z5XV17V6QDUCV0CAH,Х920НС600
192,302,Skoda,Kodiaq,1992,0EYWDLECOZJK2S51N,А419АУ63
193,55,Hyundai,Santa Fe,1992,MK7LTYXL96313AAGK,Н310НВ597
194,718,Lada,2111,2010,8FI426VIPJ18HDYTI,Х609РЕ517
195,110,Hyundai,Solaris,1988,S3QGAORTNFHE48MYB,О312НЕ778
196,925,Hyundai,Santa Fe,1987,W0N116GAI9Q5PID7P,Х617МС630
197,857,Skoda,Yetti,2004,E51CD6GET381V7UAE,Т790ОН107
198,487,Porsche,Panamera,2018,EGM156NU9C853WPIC,В903КС99
199,948,Skoda,Yetti,2006,7KS5PUDXNJFW1E27D,К839ВН282
200,675,Rolls-Royce,Ghost,2004,9PLMUJJFYXDT5FQUB,Н735ЕУ197
201,538,BMW,X5,2003,GGP4EUH5PD5G0I182,К546РР142
202,331,Toyota,Corolla,2018,81WSR05Q0DYG3XAV2,О859НА729
203,320,Ford,Explorer,2024,0KQF43Q5A1RU0GNSX,К281АО209
204,241,Kia,Ceed,2024,348H3TYSR3VBMZIUN,О359ХА529
205,465,Volkswagen,Passat,1980,ZA8A5AG7TAWYERCFU,С289РС423
206,777,Dodge,Charger,1982,XBLDH939G9DL3P1JS,С518РА175
207,247,Mercedes-Benz,GLA,2019,DO7U199YDR9PTX65B,Х233ХХ334
208,399,Hyundai,Solaris,1998,550N34VKT2062CNS6,О816НХ765
209,364,BMW,5 Series,1990,94HRJ9ROI89UY7T73,Н443ТО207
210,556,Porsche,Cayenne,1982,9WXA1N4AU6I8BI24B,Е778ОУ64
211,29,Ford,Mondeo,1999,IC8X5IIGJOGDNPEAE,К612РО136
212,345,Lincoln,Aviator,1991,TS2LTDEV8OE45C7Z0,У793СТ251
213,902,Toyota,Corolla,1992,ZSBZWH4PLJOAG684U,А158ТУ509
214,672,Hyundai,Tucson,1985,TK6I7R1GOWXGIPTN8,Р545РО90
215,628,Porsche,Cayenne,2009,CF5BNVQ1YLOBKB81X,Т674СУ447
216,354,Toyota,Camry,2021,32Z1KJNMSEIEO8VQC,Х104ВЕ78
217,256,Cadillac,Escalade,1990,U45W7K6OT5KKI82I4,Т544НА111
218,247,Toyota,Camry,2005,GHHL2LH7EV7W0D9PE,У415ОМ498
219,721,Audi,A8,1999,WE62CKK8F6GD8BE3R,К253МР117
220,894,Lada,2115,1980,P56YKC8J8GWA92843,Т297ВР134
221,914,Nissan,Qashqai,2008,RU8JA5FR8KLGL2WZI,У850СХ267
222,408,Lada,Priora,2002,NIA0QH4AORNJPEIZT,К653ТА143
223,58,Mercedes-Benz,E-Class,2013,WBP685134WGI53B9A,У385ЕМ383
224,587,Lada,Niva,2008,FE9S7V388PCRJYRX0,Е804НУ346
225,203,Porsche,Macan,2020,7N84D6FL4ROTOXTJV,К563КН646
226,771,Cadillac,XT6,2014,UFFCJO3S7CG7KQFKT,Е248РУ533
227,367,Dodge,Ram,2008,24DFYTKQ4SOFZVHXU,А831ВУ44
228,319,Dodge,Charger,2000,NX9QO752QF9D29LIV,Х275РВ413
229,320,Dodge,Charger,1990,GBIJSSOOPM0HDBTVR,У763МЕ163
230,641,Porsche,Cayenne,1982,5ZVWVOB4LPD3GNX13,У785МВ635
231,869,Hyundai,Elantra,2006,UB0A03V9O1YAKXORR,У293ТТ298
232,345,Skoda,Octavia,2018,ULOKBWQ2LCBJ25JT7,Т753ВХ321
233,488,Porsche,911,1998,3FNOLZAABJ4NQR5ZW,К704АН286
234,236,Kia,Sportage,2016,37ZQCKF7DPTOP1J93,У418ВВ287
235,48,Dodge,Charger,1984,U6C2PU6UA0TDDV081,О310ЕА645
236,669,Ford,Focus,2023,G2EXUL3XKDT3TB0TG,М613МК306
237,854,Lincoln,Corsair,2002,AHOAQ0NHMMXERHC9S,У995ХУ406
238,656,Mercedes-Benz,E-Class,2003,Z6GMR4WL3TRVYTP3Y,М967ОР283
239,160,Porsche,911,2009,YYHGSI885VAYHXHCS,Е792УХ313
240,106,Kia,Sorento,1991,5CJAI958R1UJ980OS,В410ТА682
241,781,Porsche,Panamera,2010,ZETYSPIYZAQQHPCRE,В653РР467
242,237,Ford,F-150,2001,HWPZYDFB0L8DFDOGW,Р722УМ329
243,926,Nissan,X-Trail,1983,00CUJVBCV0X0E4V5D,К771КС365
244,235,Volkswagen,Passat,2004,N52BORLMXLO71QT01,У608УК584
245,970,Audi,A3,1995,IRKVZQC5W4BHZMDQR,Н967МА406
246,899,Lada,2108,2004,YZKA83OWRBY7LZSPK,М752РН560
247,230,Skoda,Superb,1983,L7RV8ZJSGN00END67,С682ХА573
248,456,Toyota,Corolla,2005,7XE4BFSDADR02T8R4,Т606АВ176
249,798,BMW,X5,2021,ESR78Y76LVMF9K8L2,М299АЕ576
250,261,Kia,Sportage,2007,CIAE55JRJ9SL2OLKU,А888КМ439
251,952,Toyota,Corolla,1984,465YLOGW7NBJLZMXJ,К864АН269
